State,LDL,,,State,Tri,,,State,Sys,,,State,Dia,,,State,HDL,,,State,HR,,,State,State Population,National Population,Fraction of National Population
,Prediction,Adjusted Prediction Fraction,,,Prediction,Adjusted Prediction Fraction,,,Prediction,Adjusted Prediction Fraction,,,Prediction,Adjusted Prediction Fraction,,,Prediction,Adjusted Prediction Fraction,,,Prediction,Adjusted Prediction Fraction,,,,,
PA,74.7605826493,2.9651458708,,PA,75.4727989699,2.9933937149,,PA,75.5412039272,2.9961067847,,PA,70.0667954289,2.7789814068,,PA,75.5593111218,2.9968249502,,PA,74.6921776919,2.962432801,,PA,12787209,322405452,0.0396618882
PR,70.0716324035,0.7712089468,,PR,71.9177683303,0.7915275336,,PR,71.9527109662,0.7919121125,,PR,67.9983693437,0.748390597,,PR,72.488498049,0.7978089894,,PR,70.6015957137,0.7770417272,,PR,3548397,322405452,0.011006008
RI,70.3712296984,0.2303119317,,RI,73.2482598608,0.2397279157,,RI,75.2900232019,0.2464102269,,RI,69.5823665893,0.2277301296,,RI,74.3851508121,0.2434487481,,RI,68.9559164733,0.225679875,,RI,1055173,322405452,0.0032728138
SC,70.8117732154,1.0613859565,,SC,73.5547766094,1.1025003806,,SC,73.2320703277,1.0976633896,,SC,68.4248595115,1.0256089017,,SC,74.6119178768,1.1183456962,,SC,72.2472597786,1.0829022271,,SC,4832482,322405452,0.0149888346
SD,71.3144758735,0.1887180498,,SD,73.3444259567,0.1940898655,,SD,73.4109816972,0.1942659906,,SD,68.4193011647,0.1810566078,,SD,73.9101497504,0.1955869289,,SD,71.381031614,0.1888941749,,SD,853175,322405452,0.0026462797
TN,72.4732412779,1.4722231409,,TN,73.2739602909,1.4884889659,,TN,73.7192581093,1.4975347564,,TN,68.5881199444,1.3933006941,,TN,75.7047144375,1.5378673633,,TN,72.9103684942,1.4811029536,,TN,6549352,322405452,0.0203140237
TX,74.7749093662,6.2520781816,,TX,75.8206844349,6.3395175051,,TX,76.1881996733,6.3702461816,,TX,71.22524999,5.9552841349,,TX,76.5118919565,6.3973107341,,TX,75.081670053,6.2777270498,,TX,26956958,322405452,0.0836119794
UT,71.3985594238,0.6517227375,,UT,71.8487394958,0.6558319603,,UT,72.0788315326,0.6579322298,,UT,67.8571428571,0.6193968514,,UT,71.4385754302,0.6520880018,,UT,71.468587435,0.65236195,,UT,2942902,322405452,0.0091279536
VT,69.4922194922,0.1350510195,,VT,71.2530712531,0.1384730548,,VT,72.0311220311,0.1399851169,,VT,66.9123669124,0.13003734,,VT,72.113022113,0.1401442813,,VT,70.515970516,0.1370405749,,VT,626562,322405452,0.0019433977
VA,73.3352450137,1.8939209615,,VA,72.9210476008,1.8832240972,,VA,74.9952207991,1.9367907021,,VA,69.9388262283,1.8062066744,,VA,74.8263557,1.9324296729,,VA,74.2273625183,1.9169603615,,VA,8326289,322405452,0.0258255217
WA,72.1561714736,1.5804105249,,WA,72.2161797247,1.5817248639,,WA,72.9925364738,1.598729125,,WA,68.4994186701,1.5003179909,,WA,73.7163860031,1.6145833394,,WA,72.9587818325,1.5979898093,,WA,7061530,322405452,0.0219026383
WV,73.4164934165,0.4213466163,,WV,73.264033264,0.4204716281,,WV,74.4421344421,0.4272329009,,WV,69.3970893971,0.3982787442,,WV,75.6340956341,0.4340737182,,WV,71.8641718642,0.412437645,,WV,1850326,322405452,0.0057391275
WI,73.3894832688,1.3106001878,,WI,73.3257455042,1.3094619494,,WI,74.208968814,1.3252346812,,WI,68.9232870476,1.2308421987,,WI,74.8463464603,1.336617065,,WI,73.5989073526,1.3143401139,,WI,5757564,322405452,0.0178581471
WY,69.0740740741,0.1251524344,,WY,68.8425925926,0.1247330228,,WY,72.9166666667,0.1321146677,,WY,67.2685185185,0.1218810236,,WY,73.1018518519,0.132450197,,WY,69.537037037,0.1259912577,,WY,584153,322405452,0.0018118583
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Adjusted LDL Prediction,,,,Adjusted Tri Prediction,,,,Adjusted Sys Prediction,,,,Adjusted Dia Prediction,,,,Adjusted HDL Prediction,,,,Adjusted HR Prediction,,,,,
,,73.48,,,,73.97,,,,74.77,,,,69.54,,,,75.06,,,,73.69,,,,,
