,Avg,Std,Min,Max,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20
OK,81.35206573417834,18.80450699377743,46.0,164.0,0.02098744194047824,0.0754859797006709,0.08635816273868914,0.12158954068467229,0.11966282470325133,0.12310338895578875,0.10951316015826595,0.09210390504042663,0.07242387751591262,0.05673490452434199,0.04204369516600723,0.029795286426974023,0.022432478926543955,0.016239463271976604,0.009667985549630139,0.0005160846378806125,0.0004472733528298641,0.0004472733528298641,0.0003440564252537416,0.00010321692757612249
OR,81.19278514302532,18.57818769446766,46.0,163.0,0.020176297747306563,0.0762324518445968,0.08201110022853411,0.12151485471759713,0.12226575253019915,0.12347371857655894,0.10708455762324519,0.09222984002611818,0.07476330395037545,0.05778648383937316,0.04198498204374796,0.029056480574600065,0.02226575253019915,0.01929480901077375,0.008651648710414626,0.0007835455435847208,9.79431929480901e-05,0.0001958863858961802,6.52954619653934e-05,6.52954619653934e-05
PA,81.7618927368428,18.811587704477162,47.0,164.0,0.030218591877998975,0.07277007112032109,0.08847287468941444,0.1182086129022523,0.12060276232534278,0.12444547274391654,0.10726392982526733,0.08944864147109417,0.07255882264181311,0.056272570893983444,0.04175678258507781,0.026546892132503094,0.022573408846281524,0.016738927058918208,0.009506181532859198,0.0005834481787363317,0.0007142210463841302,0.000502972567876148,0.0005633292760212858,0.000251486283938074
PR,78.49935409175879,16.940028364629566,47.0,164.0,0.03071950615846024,0.07559036776053345,0.11615176309582739,0.1351075910665929,0.13638878374050026,0.13164254724397986,0.11303613545700725,0.08700462976443525,0.056430713682555395,0.042657892438051424,0.033107183414378474,0.018431703695076143,0.011588970095798271,0.005270360772209767,0.0038435780217220394,0.0008153044288501295,0.0007570683982179774,0.0003785341991089887,0.0006697143522697493,0.0004076522144250648
RI,81.28095579874594,18.709314083880216,48.0,160.0,0.04790627537408653,0.06565363646908712,0.0921006843753625,0.11100800371186638,0.11483586590882729,0.12028766964389281,0.10776012063565711,0.08282101844333604,0.07435332328036191,0.05718594130611298,0.04152650504581835,0.02946293933418397,0.020995244171209838,0.018095348567451573,0.010671615821830413,0.0037118663728105787,0.00023199164830066117,0.0008119707690523141,0.00034798747245099175,0.00023199164830066117
SC,82.58916267369253,19.36407984704009,48.0,164.0,0.03702673380254263,0.06812807744735305,0.09377694939772442,0.11647703563579714,0.12176259493142683,0.11797924722508137,0.10409769939076974,0.087907196706262,0.0719114251536985,0.05638857206442818,0.039725150916627254,0.027679639469218573,0.02281136117061229,0.01660778368153114,0.011044037054552536,0.0016969427212284753,0.0013074804573399727,0.001418755389879545,0.0013074804573399727,0.0009458369265863632
SD,81.58288914057076,18.706607740361704,46.0,151.0,0.01713525203793046,0.06704375311928132,0.05955747795707869,0.09615704541673599,0.10929961736815838,0.1112959574114124,0.10780236233571786,0.09682249209782066,0.07985360173016137,0.06804192314090833,0.05489935118948594,0.041091332556978874,0.0272833139244718,0.02029612377308268,0.022625187156879056,0.013142571951422393,0.0071535518216602895,0.00016636167027116953,0.00016636167027116953,0.00016636167027116953
TN,82.0567113682583,19.03224997260245,48.0,164.0,0.04193561565487376,0.0687556172889942,0.0961271345698178,0.11735027371517281,0.11971974834545306,0.11961761581828581,0.10350110303129341,0.08521938066835526,0.07247324127788218,0.05688781763215949,0.03901462537789035,0.026370618514584526,0.023694746302802515,0.0161165127869924,0.009334912983086854,0.0007966337119045673,0.0010417517771059727,0.001062178282539423,0.0005923686575700629,0.00038810360323555845
TX,80.86940197824933,18.36590127702798,46.0,164.0,0.01906787046397323,0.07190912757894317,0.09176381536684113,0.12288293851371203,0.12665268986947797,0.12819644537844418,0.11210652908983162,0.08971709435334074,0.07175475202804656,0.054997534971042136,0.03956495973786035,0.025875334272866257,0.02062656554238107,0.014117893122320214,0.007723757401311694,0.0009013540229770578,0.0006772604813529274,0.0006573410554307824,0.00048802593509255065,0.0003187108147543188
UT,80.89160440727466,18.392049967052774,46.0,164.0,0.022008803521408563,0.07663065226090436,0.08668467386954781,0.12329931972789115,0.12354941976790716,0.12384953981592638,0.10769307723089236,0.09238695478191276,0.07302921168467387,0.05712284913965586,0.04091636654661865,0.027561024409763907,0.022609043617446978,0.013905562224889955,0.008003201280512205,0.0006002400960384153,5.0020008003201284e-05,5.0020008003201284e-05,0.0,5.0020008003201284e-05
VT,81.86311853218137,18.94239824047864,48.0,154.0,0.04237461617195496,0.06632548618219038,0.08024564994882293,0.10501535312180144,0.0992835209825998,0.10542476970317298,0.09580348004094166,0.09375639713408393,0.07799385875127943,0.0638689866939611,0.050562947799385874,0.040327533265097235,0.026816786079836234,0.023132036847492324,0.017604912998976457,0.009416581371545548,0.0014329580348004093,0.00040941658137154553,0.0,0.00020470829068577277
VA,82.19658040045043,19.160333657610575,48.0,164.0,0.03988976152167333,0.06904242269765663,0.0966498335271534,0.1161805234734679,0.12062510952160961,0.11911172000700938,0.10461504149873353,0.08568970735825912,0.0723878100457203,0.05416341420674494,0.04068628231883135,0.026619725041020822,0.02306724228569608,0.016312745925796124,0.01035477036305418,0.0010195466203622577,0.00114698994790754,0.0008921032928169754,0.0008761728768738151,0.0006690774696127316
WA,81.40110074591045,18.666247352202678,46.0,164.0,0.018677568165622774,0.07570415932190676,0.08521171661103402,0.12172298691070021,0.12091662603607996,0.12432959531935642,0.10992761504706897,0.08993736638787833,0.07491655102576604,0.057420395304354346,0.04226831189288527,0.027360012001650228,0.024678393279075873,0.01738364025053445,0.0083824025803548,0.000300041255672655,0.00018752578479540937,0.00033754641263173687,0.00018752578479540937,0.0001500206278363275
WV,81.48710843048221,18.70634916749585,48.0,162.0,0.04455994455994456,0.0693000693000693,0.09203049203049203,0.11968121968121968,0.11524601524601524,0.11781011781011781,0.10679140679140679,0.08454608454608455,0.07366597366597366,0.055647955647955646,0.03970893970893971,0.029036729036729037,0.02273042273042273,0.01683991683991684,0.009632709632709633,0.0015246015246015245,0.0004851004851004851,0.0002079002079002079,0.0004851004851004851,6.93000693000693e-05
WI,81.85594234044241,18.73525218712924,46.0,164.0,0.017641702708854998,0.07480081948554519,0.08174368313225586,0.1166173457773731,0.11969041657181881,0.12412929660824039,0.11149556111996357,0.092943318916458,0.07846574095151378,0.05868427043022991,0.043296152970635104,0.02829501479626679,0.02301388572729342,0.017892101069883905,0.009765536080127476,0.00047803323469155476,0.0003642157978602322,0.0002048713862963806,0.00029592533576143867,0.0001821078989301161
WY,81.34634673411136,18.417427387393165,48.0,139.0,0.027546296296296298,0.06157407407407407,0.05393518518518518,0.0863425925925926,0.09421296296296296,0.08981481481481482,0.09444444444444444,0.09143518518518519,0.08194444444444444,0.0738425925925926,0.05925925925925926,0.04490740740740741,0.04490740740740741,0.02824074074074074,0.02013888888888889,0.016898148148148148,0.009953703703703704,0.011342592592592593,0.009027777777777777,0.0002314814814814815
