,Avg,Std,Min,Max,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20
MN,121.44937246498704,68.41285750827767,12.0,400.0,0.01700638049604012,0.05722584969835398,0.14491422329253456,0.1668363166910797,0.1486134213858338,0.11301174309193376,0.08823456391668115,0.0712778370863229,0.050895007323915685,0.0388788202289034,0.02437994984979766,0.01668363166910797,0.011420343106829862,0.0093597159810323,0.008490776831599593,0.007820452344894362,0.007547357183644083,0.00692668636262072,0.007001166861143524,0.0034757565977308275
MS,121.38955007037093,68.66206318647893,12.0,399.0,0.01807582809887478,0.05951466401554521,0.1451037100637173,0.16503231054272674,0.1443806769397623,0.11432961272538299,0.08870712639522799,0.06823625107325229,0.0516064892222875,0.03850151385060328,0.023814903520267522,0.016991278412942293,0.013240544082425776,0.010258032446111438,0.009489809751909259,0.00845044963622396,0.008179312214740837,0.007275520809797099,0.005603506710651181,0.0032084594875502735
MO,121.13424671470683,67.85357467980235,12.0,400.0,0.01831654866089098,0.055455385021329,0.14510312678657813,0.16933462333435947,0.1456088658252342,0.11539645542899864,0.08863626368793702,0.07027573771933682,0.05110163155811601,0.0373147455912749,0.024913144817274288,0.01750296846827037,0.012137736927745283,0.008553586349443688,0.008861427503408242,0.007849949426096134,0.007476142310567747,0.007344210387440081,0.006222789040854919,0.0025946611548441005
MT,121.11991748409584,67.33897516092851,12.0,395.0,0.014711677393931434,0.0570077499014843,0.14238802049126495,0.1630106396952581,0.14711677393931433,0.11191383160383554,0.09207933797451727,0.07198213582030737,0.05096545382897675,0.04282148955733613,0.026664915276500722,0.019046368054643374,0.011033758045448575,0.009588861158544595,0.008406672796532247,0.008012610009194798,0.006173650334953369,0.0066990673847366344,0.005910941810061737,0.004466044923157757
NE,120.97489337832918,68.88679517701186,12.0,396.0,0.021437759039588396,0.05781049021009004,0.1417750464484779,0.16285550950407318,0.146562812633986,0.11497784764899242,0.08896670001429184,0.0676718593683007,0.050807488923824494,0.039445476632842646,0.023938830927540376,0.018579391167643275,0.012148063455766757,0.009789909961412034,0.00850364441903673,0.007574674860654566,0.009075317993425754,0.007931970844647706,0.0067171644990710305,0.0034300414463341432
NV,120.8840809899859,68.13479143187847,12.0,399.0,0.017691287041132243,0.058115877930119415,0.14590888987173817,0.16638655462184873,0.148562582927908,0.11379920389208315,0.09026979212737726,0.06607695709862893,0.05037593984962406,0.03706324635117205,0.02490048651039363,0.01742591773551526,0.01318000884564352,0.009199469261388767,0.009332153914197257,0.008447589562140645,0.007209199469261389,0.006413091552410438,0.006368863334807608,0.003272888102609465
NH,122.25454399473136,68.13139353905214,12.0,400.0,0.016532178704979333,0.05333595748868333,0.14564062192481794,0.16227120645542217,0.1505609132060618,0.11306829364298367,0.0902381420980122,0.07114741192678607,0.05107262349931116,0.03798464869120252,0.028045660303089942,0.017811454438102736,0.011415075772485732,0.010234205864987207,0.007577248573115528,0.00816768352686479,0.008364495178114544,0.007970871875615036,0.0059043495374926196,0.002656957291871679
NJ,121.3843515108372,68.29914870631298,12.0,400.0,0.01825249281730607,0.057334798039547066,0.1451045011548645,0.16185003661765535,0.15137175370401668,0.11550053518111655,0.08807954481437666,0.06864402005520816,0.051968903160385334,0.03733592473663456,0.024787335924736635,0.017477888569658047,0.011900737986592304,0.00933750211255704,0.008858655850374627,0.007464368204608191,0.0077178750492929975,0.007872795898822602,0.0064221733986817645,0.0027181567235648697
NM,121.39715742826642,68.29864556675035,12.0,400.0,0.019129845945488402,0.05722024716438124,0.14643643135263246,0.16155973139213362,0.14750860560916426,0.11348118052028666,0.08842616105185938,0.07042491958693076,0.053100840810338015,0.03972687771570453,0.023926414987867503,0.018339822809096552,0.010608882117262006,0.009085266068506292,0.008013091811974493,0.008125952260030472,0.008520963828226398,0.007674510467806557,0.005981603746966876,0.002708650753343491
NY,121.06336761942595,68.58041597248672,12.0,400.0,0.018231941519018708,0.058437616156610084,0.14815388427704126,0.16415561888241853,0.14798661875851815,0.11389542807582703,0.08796307768554082,0.06871515301697435,0.049925659769545286,0.038217073472927764,0.025176558047329947,0.01657787139140131,0.011782926527072234,0.008877462520133812,0.009007557923429563,0.007805724197745013,0.007619873621608227,0.007780944120926775,0.006752570932969893,0.0029364391029612193
